Рыба,Локация,Наживка,Расстояние,Цена,Мин. вес (кг),Макс. вес (кг),Автор,Дата,Примечание
Золотистый Дорадо,44. Остров Робинзон,Кальмар,9.1 м,609 монет / 230 опыта,36.913,45.2,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,"Крючок 6.х. ИЛИ Воблер Snake Head или ниже с 15.0 м по верху (прилов - Тигровая Акула); Возможный/неизбежный прилов: Рифовая Акула, х Корифена Большая"
Золотистый Линь,07. Руины,Горох,7.0 м,198 монет / 37 опыта,8.027,8.1,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 5.х; Автор лично поймал экземпляр максимального веса (✔)
Зубан,32. Пещера Пашабей,Мидия,12.1 м,408 монет / 111 опыта,14.009,14.2,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х
Испанская Макрель,32. Пещера Пашабей,Кальмар,4.1 м,465 монет / 111 опыта,6.186,6.2,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 4.х
Каменный Окунь,44. Остров Робинзон,Креветка,3.0 м,126 монет / 28 опыта,3.169,3.25,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 4.х; Автор лично поймал экземпляр максимального веса (✔)
Карась Обыкновенный,01. Озеро Савай,Хлеб,4.1 м,58 монет / 16 опыта,2.009,3.5,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 4.х
Карась Серебрянный,10. Изумрудное Озеро,Хлеб,5.2 м,52 монет / 10 опыта,1.942,2,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 3.х
Кефаль,32. Пещера Пашабей,Креветка,3.0 м,94 монет / 27 опыта,7.195,7.2,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 4.х
Кижуч,39. Ледник,,,336 монет / 207 опыта,15.698,16.2,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,"Крючок Воблер Alpha Diver с 15.0 м до ≈ 9.0 м по дну; Возможный/неизбежный прилов: Стерлядь, х Налим"
Китайский Веслонос,46. Река Ли,Рак,10.9 м,904 монет / 246 опыта,196.262,200,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.3
Китайский Окунь,20. Река Таби,Креветка,7.2 м,186 монет / 51 опыта,3.656,8.0,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 4.х
Клариевый Сом,45. Река Кафуэ,Лягушка,13.5 м,687 монет / 231 опыта,60.977,63.2,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х; Возможный/неизбежный прилов: Тигровая Рыба
Корифена Большая,32. Пещера Пашабей,Рак,8.8 м,427 монет / 115 опыта,40.653,41,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х
Косатка Скрипун,08. Озеро Кускон,Опарыш,3.0 м,55 монет / 16 опыта,0.682,0.7,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 2.х
Краснобрюхая Пиранья,25. Река Амазонка,Креветка,3.0 м,106 монет / 59 опыта,3.898,3.9,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 4.х
Краснопёрка,08. Озеро Кускон,Муха,3.7 м,70 монет / 16 опыта,1.566,1.9,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 3.х
Красный Луциан,44. Остров Робинзон,Рак,7.4 м,442 монет / 218 опыта,14.745,15.4,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х
Крокодил Альбинос,45. Река Кафуэ,Лягушка,5.2 м,1066 монет / 295 опыта,51.844,200.0,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.3; Возможный/неизбежный прилов: Крокодил Нильский
Крокодил Нильский,45. Река Кафуэ,Лягушка,5.2 м,912 монет / 260 опыта,53.443,200.0,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.3; Возможный/неизбежный прилов: Крокодил Альбинос
Ленок,22. Холодное Озеро,Опарыш,11.1 м,267 монет / 48 опыта,6.885,7.1,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 4.х
Лещ,04. Озеро Тихое,Каша Манная,4.4 м,186 монет / 28 опыта,2.865,6.2,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 4.х
Линь,06. Затерянное Озеро,Медведка,6.4 м,175 монет / 33 опыта,7.602,7.9,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 4.х
Луфарь,12. Райский Остров,Мидия,4.4 м,213 монет / 38 опыта,12.963,14.7,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х
Луциан Императорский,44. Остров Робинзон,Живец (средний),5.1 м,453 монет / 218 опыта,32.543,34,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х
Маринка,14. Белые Скалы,Живец (маленький),5.3 м,312 монет / 46 опыта,5.045,11.9,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 5.х
Менёк,43. Долина Ветров,Рак,13.1 м,570 монет / 208 опыта,30.372,31,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х
Микижа,06. Затерянное Озеро,Муха,3.0 м,72 монет / 16 опыта,2.827,3.3,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 4.х; Автор лично поймал экземпляр максимального веса (✔)
Миссисипский Панцирник,29. Озеро Дайл,Живец (большой),5.1 м,699 монет / 191 опыта,131.952,132,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.2/3
Мозамбикская Тиляпия,45. Река Кафуэ,Пиявка,3.0 м,184 монет / 142 опыта,1.229,1.23,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 3.х
Морской Окунь,12. Райский Остров,Креветка,9.9 м,231 монет / 61 опыта,20.802,21,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х
Муксун,10. Изумрудное Озеро,Мотыль,4.8 м,141 монет / 33 опыта,2.617,8.3,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 5.х
Налим,16. Каменный Берег,Кусок Рыбы,7.3 м,537 монет / 63 опыта,13.406,18.2,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х
Нельма,46. Река Ли,Живец (большой),3.0 м,621 монет / 178 опыта,51.071,52,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х
Нерка,41. Река Исикари,Пиявка,3.0 м,177 монет / 33 опыта,3.121,5.3,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 4.х
Нильский Окунь,45. Река Кафуэ,Рак,8.7 м,858 монет / 246 опыта,114.247,200.0,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.3; Возможный/неизбежный прилов: Тигровая Рыба
Нильский Слоник,45. Река Кафуэ,Мотыль,3.0 м,204 монет / 120 опыта,0.189,0.36,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 2.х; Автор лично поймал экземпляр максимального веса (✔)
Обыкновенный Валёк,02. Река Горбыль,Муха,3.0 м,50 монет / 13 опыта,2.002,2.1,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 3.х
Обыкновенный Верхогляд,26. Озеро Тахо,Живец (маленький),3.0 м,285 монет / 63 опыта,9.228,9.6,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 5.х
Обыкновенный Лопатонос,15. Река Клаус,Сверчок,3.7 м,130 монет / 26 опыта,3.439,4.9,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 4.х
Обыкновенный Подуст,02. Река Горбыль,Опарыш,3.0 м,56 монет / 13 опыта,2.171,2.2,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 3.х; Возможный/неизбежный прилов: Обыкновенный Валёк
Обыкновенный Таймень,34. Долина Камней,Живец (средний),6.2 м,532 монет / 147 опыта,87.07,89,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х
Окунь Речной,02. Река Горбыль,Личинка Майского Жука,5.8 м,123 монет / 21 опыта,0.803,3.2,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 4.х
Осман,04. Озеро Тихое,Червь,3.0 м,58 монет / 12 опыта,1.191,1.24,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 3.х
Павлиний Басс,25. Река Амазонка,Креветка,4.2 м,337 монет / 63 опыта,13.028,13.2,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х
Пайяра,25. Река Амазонка,Креветка,9.0 м,319 монет / 67 опыта,17.865,18.2,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х
Паку,25. Река Амазонка,Живец (маленький),7.1 м,411 монет / 73 опыта,23.993,25.0,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х
Палтус Атлантический,39. Ледник,Живец (большой),9.0 м,784 монет / 236 опыта,191.995,200,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,"Крючок 6.3; Возможный/неизбежный прилов: Сибирский Осётр, х Обыкновенный Таймень"
Пеламида,44. Остров Робинзон,Креветка,4.6 м,433 монет / 116 опыта,11.787,12,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 5.х
Пелядь,14. Белые Скалы,Червь,3.0 м,82 монет / 22 опыта,1.174,4.9,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 4.х
Персидский Осётр,46. Река Ли,Живец (средний),12.0 м,642 монет / 210 опыта,160.893,163,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.3
Пескарь,01. Озеро Савай,Червь,8.4 м,48 монет / 8 опыта,0.181,0.2,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 1.х; Автор лично поймал экземпляр максимального веса (✔)
Пёстрый Толстолобик,46. Река Ли,Кукуруза,3.0 м,618 монет / 163 опыта,42.986,44,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х; Возможный/неизбежный прилов: Белый Карп
Пилорылый Скат,44. Остров Робинзон,,,949 монет / 246 опыта,195.361,200.0,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,"Крючок Воблер Predator Pro с 15.0 м до 10.0 м над дном; Возможный/неизбежный прилов: Рыба Гитара, х Тунец, х Скат"
Пикша,39. Ледник,Живец (средний),7.1 м,334 монет / 203 опыта,12.502,12.7,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х; Возможный/неизбежный прилов: Полосатая Зубатка
Плотва Обыкновенная,01. Озеро Савай,Сыр,5.5 м,46 монет / 14 опыта,3.041,3.1,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 3.х
Подлещик,02. Река Горбыль,Тесто,3.0 м,55 монет / 9 опыта,1.533,1.55,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 3.х
Полосатая Зубатка,39. Ледник,Живец (средний),4.4 м,519 монет / 186 опыта,12.989,24.1,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х
Полосатый Лаврак,32. Пещера Пашабей,Креветка,12.4 м,348 монет / 116 опыта,55.461,58,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х
Помпано,12. Райский Остров,Мидия,11.5 м,411 монет / 83 опыта,36.164,36.4,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х
Пятнистая Панцирная Щука,22. Холодное Озеро,Кусок Рыбы,4.4 м,250 монет / 39 опыта,4.365,4.4,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 4.х
Речная Минога,41. Река Исикари,Пиявка,14.0 м,208 монет / 107 опыта,0.179,0.185,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 1.х
Рифовая Акула,44. Остров Робинзон,Живец (большой),9.0 м,562 монет / 206 опыта,15.555,28.0,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х
Ротан,16. Каменный Берег,Червь,3.0 м,72 монет / 14 опыта,0.22,0.22,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 1.х; Автор лично поймал экземпляр максимального веса (✔)
Рыба Ананас,44. Остров Робинзон,Мидия,5.8 м,180 монет / 130 опыта,0.821,0.85,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 1.1
Рыба Гитара,38. Гао Ту,Рак,9.8 м,864 монет / 245 опыта,63.06,200.0,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.3; Возможный/неизбежный прилов: Корифена Большая
Рыба Солдат,12. Райский Остров,Креветка,3.0 м,63 монет / 22 опыта,2.197,2.2,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 2.3; Возможный/неизбежный прилов: 5 Рыбов
Рыбец,24. Река Колорадо,Тесто,12.1 м,238 монет / 49 опыта,2.95,2.98,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 3.х
Сазан,16. Каменный Берег,Сверчок,8.2 м,321 монет / 52 опыта,9.419,19.3,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х
Сарган,12. Райский Остров,Креветка,3.0 м,61 монет / 22 опыта,1.495,1.5,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 3.1; Возможный/неизбежный прилов: 5 Рыбов
Севрюга,39. Ледник,"Живец (большой), 10.1 м",6.х.                                                                                                        ЛИБО                                                                                                                                        39. Ледник,519 монет / 231 опыта,6.533,83.0,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,"Крючок Воблер Predator PRO с 15.0 м до ≈ 10.0 м по середине; Возможный/неизбежный прилов: Белуга, х Сибирский Осётр"
Селена,12. Райский Остров,Креветка,4.6 м,106 монет / 25 опыта,2.18,2.2,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 3.1; Возможный/неизбежный прилов: 5 Рыбов
Серебристая Сайда,43. Долина Ветров,Кусок Рыбы,3.0 м,501 монет / 161 опыта,14.796,17.2,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х
Серый Спинорог,12. Райский Остров,Креветка,3.0 м,82 монет / 23 опыта,3.898,3.9,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 4.х; Возможный/неизбежный прилов: Кефаль
Сиамский Карп,46. Река Ли,Медведка,8.1 м,876 монет / 243 опыта,192.858,200,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.3
Сибирский Осётр,39. Ледник,Лягушка,8.7 м,738 монет / 220 опыта,36.748,200.0,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.3
Сиг,16. Каменный Берег,Живец (маленький),4.8 м,231 монет / 38 опыта,6.354,6.6,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,"Крючок 4.х; Возможный/неизбежный прилов: Змееголов, х Щука Травянка"
Синец,06. Затерянное Озеро,Сыр,3.0 м,70 монет / 13 опыта,1.577,1.6,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 3.х
Скат,32. Пещера Пашабей,Рак,14.1 м,634 монет / 147 опыта,66.3,68,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х; Возможный/неизбежный прилов: Корифена Большая
Скорпена,12. Райский Остров,Креветка,3.0 м,63 монет / 24 опыта,1.282,1.3,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 3.1; Возможный/неизбежный прилов: 5 Рыбов
Сом,10. Изумрудное Озеро,Живец (большой),7.9 м,876 монет / 242 опыта,4.003,200.0,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.3
Сом Амурский,20. Река Таби,Живец (средний),5.7 м,270 монет / 61 опыта,6.254,8.7,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 5.х; Автор лично поймал экземпляр максимального веса (✔)
Стерлядь,34. Долина Камней,Кусок Рыбы,6.5 м,411 монет / 148 опыта,17.185,17.2,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х
Судак,20. Река Таби,Живец (маленький),9.5 м,357 монет / 61 опыта,20.721,21.2,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х
Тетрадон Мбу,45. Река Кафуэ,Мидия,4.8 м,207 монет / 174 опыта,3.117,3.12,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 4.х
Тигровая Акула,44. Остров Робинзон,Кальмар,10.1 м,885 монет / 243 опыта,68.135,200.0,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,"Крючок 6.3. ИЛИ Воблер Predator Pro с 15.0 м до 10.0 м по верху (прилова нет, у меня не было); Возможный/неизбежный прилов: Рифовая Акула, х Золотистый Дорадо, х Корифена Большая"
Тигровая Рыба,45. Река Кафуэ,Рак,7.7 м,642 монет / 235 опыта,53.183,54,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х
Толстолобик,16. Каменный Берег,Горох,5.5 м,477 монет / 91 опыта,10.202,52.0,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х
Тунец,38. Гао Ту,Кальмар,10.1 м,895 монет / 248 опыта,193.439,200.0,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,"Крючок 6.3. ЛИБО (без прилова, у меня по крайне мере) Воблер Predator Pro c 15.0 м до ≈ 8.0 м по дну (44. Остров Робинзон); Возможный/неизбежный прилов: Барракуда, х Корифена Большая"
Угорь,18. Озеро Вабакими,Сыр,3.0 м,414 монет / 47 опыта,1.527,8.202,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 4.х; Автор лично поймал экземпляр максимального веса (✔)
Уклейка,01. Озеро Савай,Манная Каша,3.0 м,36 монет / 8 опыта,0.097,0.1,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 1.х; Автор лично поймал экземпляр максимального веса (✔)
Усач Обыкновенный,10. Изумрудное Озеро,Сыр,4.8 м,319 монет / 41 опыта,0.799,11.8,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 5.х
Форель Ручьевая,14. Белые Скалы,Икра,5.4 м,211 монет / 33 опыта,1.163,7.6,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 4.х
Хариус,10. Изумрудное Озеро,Икра,3.0 м,129 монет / 24 опыта,4.286,6.3,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 4.х
Хвостокол,25. Река Амазонка,Креветка,12.1 м,357 монет / 76 опыта,17.428,18.0,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х
Черепаха Логгерхед,44. Остров Робинзон,Мидия,3.0 м,861 монет / 248 опыта,165.91,200.0,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.3
Черный Кайман,25. Река Амазонка,Лягушка,7.1 м,951 монет / 248 опыта,193.173,200.0,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.3
Чёрный Краппи,24. Река Колорадо,Креветка,9.0 м,250 монет / 53 опыта,1.279,2.7,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 3.х
Чехонь,14. Белые Скалы,Опарыш,3.0 м,56 монет / 15 опыта,2.28,2.3,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 3.х; Возможный/неизбежный прилов: Пелядь
Чир,34. Долина Камней,Живец (маленький),10.5 м,321 монет / 136 опыта,16,17.3,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,"Крючок 6.х; Возможный/неизбежный прилов: Налим, х Стерлядь"
Шестиполосный Дистиход,45. Река Кафуэ,Червь,3.0 м,216 монет / 170 опыта,3,3.2,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 4.х; Автор лично поймал экземпляр максимального веса (✔)
Шип,26. Озеро Тахо,Живец (средний),13.8 м,247 монет / 86 опыта,34.14,35,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,"Крючок 6.х; Возможный/неизбежный прилов: Судак, х Щука Обыкновенная, х Щука Глубинная"
Щука Амурская,20. Река Таби,Живец (средний),12.4 м,408 монет / 61 опыта,20.27,21,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,"Крючок 6.х; Возможный/неизбежный прилов: Судак, х Щука обыкновенная"
Щука Глубинная,26. Озеро Тахо,Лягушка,13.8 м,625 монет / 167 опыта,41.944,94.0,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х; Возможный/неизбежный прилов: Щука Обыкновенная
Щука Маскинонг,29. Озеро Дайл,Лягушка,7.3 м,474 монет / 87 опыта,4.299,32.8,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,"Крючок 6.х; Возможный/неизбежный прилов: Щука Обыкновенная, х Миссисипский Панцирник"
Щука Обыкновенная,20. Река Таби,Живец (большой),6.4 м,429 монет / 86 опыта,4.165,37.0,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х
Щука Травянка,10. Изумрудное Озеро,Личинка Майского Жука,3.0 м,252 монет / 22 опыта,0.75,3.15,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 4.х; Автор лично поймал экземпляр максимального веса (✔)
Электрический Сом,45. Река Кафуэ,Живец (средний),6.5 м,640 монет / 221 опыта,8.915,25.4,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х
Электрический Угорь,25. Река Амазонка,Крабовое Мясо,3.0 м,445 монет / 106 опыта,40.91,42.0,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х
Язь,08. Озеро Кускон,Овод,7.6 м,175 монет / 28 опыта,4.141,6.1,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 4.х
Японский Речной Угорь,41. Река Исикари,Майский Жук,3.0 м,444 монет / 147 опыта,4.284,4.35,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 4.х
Глазорвач,07. Руины,Муха + Кровь,3.0 м,3745 монет / 172 опыта,1.418,21.6,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 4.х; Возможный/неизбежный прилов: Микижа
Песчаный Убийца,12. Райский Остров,Мидия + Кровь,4.4 м,5431 монет / 182 опыта,5.949,25.0,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х; Возможный/неизбежный прилов: Луфарь
Каменный призрак,16. Каменный Берег,Живец (маленький) + Кровь,3.0 м,3937 монет / 186 опыта,30.266,67.0,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х; Возможный/неизбежный прилов: Змееголов
Рыба Капля,18. Озеро Вабакими,Живец (маленький) + Кровь,3.0 м,4465 монет / 222 опыта,9.202,47.0,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х; Возможный/неизбежный прилов: Змееголов
Лезвие,25. Река Амазонка,Крабовое Мясо + Кровь,3.0 м,5086 монет / 165 опыта,4.021,15.0,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х; Возможный/неизбежный прилов: Электрический Угорь
Раптор,25. Река Амазонка,Крабовое Мясо + Кровь,3.0 м,4744 монет / 147 опыта,2.316,12.0,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х; Возможный/неизбежный прилов: Электрический Угорь
Ледяной Охотник,39. Ледник,Живец (средний),4.4 м,12267 монет / 368 опыта,102.061,200.0,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х; Возможный/неизбежный прилов: Полосатая Зубатка
Рыба Мертвец,40. Зона 86,Пиявка + Кровь,3.0 м,9220 монет / 320 опыта,7.151,120.0,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 4.х; Возможный/неизбежный прилов: Угорь
Поглотитель,40. Зона 86,Пиявка + Кровь,3.0 м,12903 монет / 373 опыта,80.193,200.0,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 4.х; Возможный/неизбежный прилов: Угорь
Тень Зоны,40. Зона 86,Пиявка + Кровь,3.0 м,12333 монет / 360 опыта,65.779,200.0,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 4.х; Возможный/неизбежный прилов: Угорь
Онамадзу,41. Река Исикари,Пиявка + Кровь,3.0 м,13117 монет / 386 опыта,84.892,200.0,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 4.х; Возможный/неизбежный прилов: Нерка
Химера,42. Мрачная Река,Живец (маленький) + Кровь,3.0 м,12631 монет / 377 опыта,30.54,200.0,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 5.х; Возможный/неизбежный прилов: Обыкновенный Верхогляд
Жнец,42. Мрачная Река,Живец (маленький) + Кровь,3.0 м,13092 монет / 383 опыта,59.329,200.0,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 5.х; Возможный/неизбежный прилов: Обыкновенный Верхогляд
Акула Гоблин,44. Остров Робинзон,Креветка + Кровь,Креветка + Кровь,12963 монет / 372 опыта,194.931,200.0,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 3.0 м; Возможный/неизбежный прилов: Каменный Окунь
Мегалодон,44. Остров Робинзон,Креветка + Кровь,Креветка + Кровь,13136 монет / 390 опыта,146.048,200.0,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 3.0 м; Возможный/неизбежный прилов: Каменный Окунь
Анаконда,45. Река Кафуэ,Червь + Кровь,3.0 м,12700 монет / 385 опыта,114.453,200.0,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 4.х; Возможный/неизбежный прилов: Шестиполосный Дистиход
Кошмар,46. Река Ли,Сыр + Кровь,3.0 м,8502 монет / 332 опыта,174.913,200.0,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х; Возможный/неизбежный прилов: Белый Карп
Живоглот,46. Река Ли,Сыр + Кровь,3.0 м,12039 монет / 372 опыта,127.91,200.0,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Крючок 6.х; Возможный/неизбежный прилов: Белый Карп
